"pid","hotel","name","commenttitle","comment","rating"
"d1770798","Marina Bay Sands","TravelbugBellevue_Wa","A stunning hotel with top notch service","I didn¡¯t expect too much from this hotel.  I figured since the Crazy Rich Asians movie featured the hotel it would be an overrated tourist attraction.  Wow!!! was I wrong.  This hotel is beautiful and provided top notch service.  The hotel responded professionally and promptly to all my hotel question.  We were served ice cream & water during the efficient & quick check in process.  We stayed 2 nights in a deluxe king sky view room.  Our room was spacious & modern with a seating area to enjoy the beautiful view.  The daytime city view was breathtaking and the nighttime view of the twinkling city lights was stunning.  We could even watch the nightly laser light show from our window.  The best view we have ever experienced in a hotel.  The anniversary chocolate cake and swans was¡¦","5"
"d1770798","Marina Bay Sands","michaelc0459","One of a kind!","One of a kind hotel. For years I had seen the iconic pool on TV and magazines, so of course I had to stay here. During my 4-night trip to Singapore, I only stayed here for one night. I wanted to splurge, so I went all out and booked a room on the executive floor. I had expedited check in and was able to get into my room a few hours earlier than standard check in time.  The hotel itself is enormous, which comes with the good and the bad. The good is that there are plenty of restaurants, places to explore and things to do. The bad is that it is very difficult to offer top quality service when there are so many guests. This is a nice hotel but do not expect to get the same level of service as you would at Mandarin Oriental or Raffles. However, I must say the service in the¡¦","5"
"d1770798","Marina Bay Sands","David","Fantastic hotel. I thought it was hotel heaven","The staff, the rooms, the service all were a 10 out of 10.   And yes it is even more spectacular than you can imagine.   The rooms were Spectacular, the service from the pool staff were great. Even checking in and out was a nice experience.","5"
"d1770798","Marina Bay Sands","Ozzy-Kunnu","Out of This World","5 minutes walk from Merlion Park and Gardens By the Bay, This magnificent beauty-spot has the most amazing view to offer, and the hospitality provided is Top-Notch.   Pool on the Sky Deck Park offers day and night view to die for.   The Light Show on display at night is quite  mesmerizing. Show Timings are as follows:  Sun <U+2013> Thu: 8pm & 9pm Fri & Sat: 8pm, 9pm & 10pm)  The adjoining Mall is perfect  to laze around all day.  The coffee shop Origin + Bloom within the Hotel is out of this world. Gelato , Coffee, Salads, Wraps and Sandwiches are quite healthy and tasty.   In short, although expensive it was worth spending every penny.","5"
"d1770798","Marina Bay Sands","Scott T","Dreamland","This is a must see place on the globe to experience, see and taste. Vibrant, complex, textured, stimulating, and stunning Singapore will not disappoint your enthusiasm for flow of excitement and intrigue. Besides being innovative, densely populated, internationally diverse, Singapore continues to establish new standards for urban planning, land reclamation, water desalination, and financial processing.","5"
"d1770798","Marina Bay Sands","Dave Villanueva","Luxury and Comfort rolled into one","Your Singapore experience won¡¯t be complete without a visit or stay in one of the country¡¯s renowned beacon. My family and I welcomed year 2020 with a nice view from our room. As expected, our room is very clean and cozy.   The structure never fail to amaze me and no doubt, Marina Bay Sands is really an epitome of success and elegance!","5"
"d1770798","Marina Bay Sands","Docklander","Stunning views and good service","The room was spotless and benefited from a good sized balcony. Very friendly staff. Our deal included breakfast which gives a choice of three restaurants. Rise gives you the better breakfast but Spago has the views but also a queue. We stayed in a garden view room. Great views of the gardens by the bay. There is a very busy road in front of the hotel so sitting out on the balcony was noisy so if you want a garden view room go for a high floor. The hotel is attached to a luxurious shopping centre with expensive food options but there is a food court.","4"
"d1770798","Marina Bay Sands","Simona M","On cloud 9","Back to MBS after 5 years. Location always very glam and crowded. Prices increased compared to the past. Deluxe room with city view for 2 nights in early Jan costed about 1400 euro without breakfast. Hotel was fully booked apparently.The place is worth its money just because of the infinity pool and the extraordinary bay view from its top.The bed is a bid too hard for me and at the 38 floor you could still hear the noise of the cars down the busy street. If you do not intend to go to the pool maybe you ¡®d better consider your choice. The place is huge.","4"
"d1770798","Marina Bay Sands","preetisv","No words!","Must visit to complete your Singapore itinerary even if it¡¯s for a day. Gorgeous rooms, awesome view from balcony. Breathtaking view from the top floor....nothing can beat it. Infinity pool was a super hit for non swimmers like me too!! Hospitality is beyond words. Breakfast and dinner spread are splendid.  These guys could really teach hospitality to all!  Easily connected to all attractions.  Facility to store your luggage while you enjoy the day after you check out.  Expensive but worth every penny.","5"
"d1770798","Marina Bay Sands","Tara <U+2728> Luxe Tourista","Nice hotel but severely lacking in service","I¡¯ll begin by saying this is not a luxury hotel by any means. Overall the hotel is beautiful, the architecture inside and out is astounding and the surrounding area is immaculate. They rooms are OK, kinda dated and nothing special. The service level is very poor and had made for the worst hotel stays I have ever had. Especially for the steep rate.   Furthermore, if you are coming for the pool, forget it. The pool is far too overcrowded and quite filthy. Certainly not a pleasant experience even though the view is quite epic.   Elaborating on my service experience. Firstly, the amount of personnel on site is severely lacking. It is challenging to find anyone to assist you with even just a simple question. I traveled to Singapore while pregnant and unfortunately had a late 11pm¡¦","1"
"d1770798","Marina Bay Sands","sunil singh","Marina Bay Sands","Stunning hotel Very stylish Yet quite expensive   Family suite was superbly designed and fitted out  Lacked any views on 2and floor  Hotel very busy with day trippers and tourists  The highlight of this grand hotel is the infinity rooftop 57th floor pool.  The most stunning anywhere in da world  Views and service to die for.  My family were in awe of the Structural design as we are are Engineers.  Friendly staff and helpful. Highly recommended.  Da best in Asia in our view.  Top up ur wallet before you visit MBS but indulge urself....at a cost","5"
"d1770798","Marina Bay Sands","Anthony","Next Level Glam","Everything about this trip was amazing. I had heard the check in process was difficult, but that was not at all our experience. We arrived early, and our room was ready. They quickly brought up our bags. Our room¡¯s views (Sky level room) of the city and the bay were magnificent. The building seemed to go on forever with shopping, a casino, dozens of restaurants, and the Bayfront metro stop all accessible without ever going outside! But nothing compares to the pool! Those 680 ft views absolutely take your breath away. We stayed nine nights in all, and it was a dream. We have not stopped dreaming about our trip since and plan to go back ASAP.","5"
"d1770798","Marina Bay Sands","naiyanghappy","A well oiled cog","A well oiled cog, thats how l would describe MBS and its needs to be because of the sheer size.  From the moment you arrive your luggage is whisked away only to be renunited with you as you enter your room and no bell boy awaiting a tip! Reception is vast and more like Grand Central Station with the continuous buzz of people checking in or out  no matter what time of day and people just wandering in to awe at the place. I was allocated a premier room on the 8th floor my friends were on the 30th floor. I was lucky to have a room that overlooked the Gardens by the Bay and had a lovely balcony, and at night l could watch the wonderful changing light show over the metal trees.  My friends room had a floor to ceiling window overlooking the city and no balcony.  Rooms are spacious and¡¦","5"
"d1770798","Marina Bay Sands","Josie B","Bucket List Hotel","We stayed for 2 nights (24-26 December 2019), came for the pool and view!  Along with everyone else.  Hotel is clean, well catered for and rooms are functional.    Dropped a star based on the experience of the other guests and the constant selfie instagramming!    Pool didn¡¯t disappoint but water temp is a lot cooler than was expected.","4"
"d1770798","Marina Bay Sands","ncq512","Luxury and relaxing","All I can is wow! Although pricey, this hotel exceeded my expectations and was worth the splurge for the experience. We booked a family suite and it was massive! We are a family of 4 and love the room. The terrace was huge and having two bathrooms was very helpful. The infinity pool is unbelievable.","5"
"d1770798","Marina Bay Sands","yetanothervince","We stay here for the pool and it did not disappoint","We stayed here for one night to check out the infinity pool and it was fantastic, providing a great view of downtown Singapore and beyond. We arrived around 7AM and the staff was nice enough to give us an early check-in; the room was ready with our luggages at 10AM. The location was very convenient for us because it was right next to Gardens at the Bay and the Artscience museum is a one minute walk from the mall connected to the hotel. Unfortunately, we came during new year time and the price was extremely expensive. I can't remember spending so much for one night except at hot springs ryokans in Japan with full kaiseki dinner. I made the reservation on the hotel website, which had the lowest price with a price guarantee. If you plan to come often to this hotel, make sure you¡¦","4"
"d1770798","Marina Bay Sands","Maria Pero","A great experience in a technologie miracle!!","A luxurius hotel with big room and excellent breakfast in one of 3 or 4 places, by the pool or at the lobby. The pool is a miracle at the 57th floor with an amazing view but little bit cold in a cloudy day. Swimming in this pool is a unique experience!! The staff was very polite. There is gym and sauna free. Of course is an expensive place with a luxurius mall but it;s worth  place to visit in Singapore,","5"
"d1770798","Marina Bay Sands","joelz","Love It at Marina Bay Sands","Both my wife and I, would like to single out both Ms Joan and Mr Shawn, from the Premium Services,   whom, took great care, of our needs, requirements and last minute requests, with affiable hospitalty.  Their hospitality were all top class, for all our arrangements, letting us feel at ease for every requests. <U+00A0>  They have never failed to answer every phone call, and have never failed to reply any messages with confidence, so much amiable, as they are.  <U+00A0>  Both Joan and Shawn were in charge of my post-wedding accommodations at Marina Bay Sands from the period between 28th Nov till 1 Dec. <U+00A0>My wedding was on 29th Nov 19.  <U+00A0>  Joan, welcomed us by informing us in advance, on phone, by introducing herself with clarity on every aspect of the arrangements,   and room types, room¡¦","5"
"d1770798","Marina Bay Sands","125suh","Superb hotel","Stayed 5 nights in a room on the 32nd floor facing Gardens by the Bay. Hotel was superb, room spacious and well equipped, bed huge and so comfortable. There are several restaurants on site something to suit everyone¡¯s taste. The facilities were excellent and the infinity pool on the rooftop amazing. All staff were helpful, friendly and couldn¡¯t do enough for you. Highly recommended.","5"
"d1770798","Marina Bay Sands","Mellfell21","Fabulous even when busy","Stayed for three nights as part of a 10 day trip & wish we'd stayed longer as we missed it immediately. I thought it would be hell on earth but it was the complete opposite. For such a busy destination hotel, with the choice of restaurants & bars, the intimacy & the service we received was not diminished in any way.  We loved the breakfast buffet at Rise & cocktails in the evening in the lounge. The pool area was busy as you'd expect at Christmas but young children are kept to one end of the pool which works well for everyone else! The pool food & drink service was fantastic.  Our large room overlooking the spectacular gardens & harbour easily accommodated the three of us & felt like a suite. Housekeeping was unobtrusive. We'll definitely stay again on our next visit to¡¦","5"
"d1770798","Marina Bay Sands","Bilge","Luxury","Welll Singapore is an expensive place and ofc here is expensive too. This is orginally a hotel but there is a mall downstairs. This mall is for only luxury shops. For picture you have to walk other side of the bay. There is nothing to see under the building. There is a skybar in the hotel but I am not sure if they are open for only guests or people from outside.","4"
"d1770798","Marina Bay Sands","Mister Perfect","Club Access is King!","Our family of four had a wonderful one night stay in the Grand Club King room (garden view).  We were in Tower 2 (same as Club 55) on the 29th floor.  We made the most of our day.  Scored an early check-in at 10:30am and was in the pool by 11:30am.  We had a snack at the pool followed by afternoon tea 2pm, canapes and happy hour at 6pm, and breakfast at Rise (excellent pastrami and lox) the following morning.  Club 55 is high up on the 55th floor with great views and service.  Highly recommended to get a room with club access.  It's actually a good value since you get three meals (including a nice happy hour) and you save time not hunting around for restaurants to eat in. Worth a splurge.  Reasonable surcharge for children club access (SGD $62++).    Tips:  If you want the pool¡¦","5"
"d1770798","Marina Bay Sands","Arsh S","Awesome","Great place to shop , well kept clean and lots of branded shops. Would highly recommend coming here while you are in Singapore. Fabulous views and so courteous staff in most showrooms. Loved the Starbucks area with its open air fountain and the small boat ride.","5"
"d1770798","Marina Bay Sands","Kestas G","On the top","Nice place. Interesting experience look to the city from the swimming pool on the roof :) Good variety of restaurants, underground station nearby. You can watch from your room a laser show in the bay or light show in the Garden, depending side of your room. Or watch both from the roof :) Of course, overnighting is not cheap, but worth to try once:)","5"
"d1770798","Marina Bay Sands","mehetha","Perfect locations","We stayed here for 1 week and the staff was very good.  The pool was in the top of the hotel. We had enjoyed the breakfast as well as the dinner.  The staff was very helpful.  We stayed in the 3 rd tower.  I would recommend anybody to visit this hotel.","5"
"d1770798","Marina Bay Sands","Theresa G","India, Singapore, Cambodia, Vietnam","What a  beautiful place, room comfy, bed comfy, we had a great room on the 40th floor looking over the Gardens by the bay!!   This hotel is attached to a very high end shopping mall, some restaurants there we ate at a gourmet burger place was delicious (sorry don't remember the name).   Took a cab to China Town was fun...the food venders look amazing we had already eaten so can't give you advise.  Now the spa and restuarants a alittle on the pricey side but I would absolutely go to this place again","5"
"d1770798","Marina Bay Sands","PritiKerai","Worst Ever 5 Star Hotel!","It's taken me over 5 months to write a review not only because I have been tied up with my life but I am yet to receive a response from Marina Bay Sands on the feedback they kept pestering me for and obviously since I gave them my honest feedback, I am yet to hear from them. Hence, I feel I need to share my experience.  We arrived at Marina Bay Sands after an awesome celebration of our 20th wedding anniversary at the Centara Resort in Maldives, hoping our celebration would continue but as soon as we walked into the door we were treated like cattle moved around for almost an hour to check in despite booking Club Room for 4 nights!  The front desk staff were utterly rude didn't even make eye contact while checking us in. Finally went to our room and which was good I must say¡¦","1"
"d1770798","Marina Bay Sands","2800PDA","Really excellent hotel","I was on the 43rd floor with ocean view. When you get into the room inserting your room card, room curtain automatically opens, which by itself was sufficient to make you feel good about staying at the hotel. It is a huge hotel; but I didn¡¯t feel too much stress from long walking or any other inconvenience as it was probably well designed. The Gardens by the Bay was attached to the Hotel. The night view of the Gardens was also impressive.","5"
"d1770798","Marina Bay Sands","Seraaj S","Pricey and Massive Produced","Pros - Sky pool is lovely and view awesome - family friendly but more for older kids - marvel of modern engineering  - near lots or high end shops - lots of food choices but Singapore wide - our garden view room (cheapest) had a fantastic view of the marina bay garden  Cons - too costly for accomodation given what you get - mass produced product really makes it tasteless - definitely boarder line 5 star - not really meant for younger kids - too busy  - like many posts on this hotel, if you keen on a stay to see the pool stay for a day.","3"
"d1770798","Marina Bay Sands","Cindi L.","A very memorable stay","2 nights stay at MBS on the 54th floor in a suite with a harbour view was very memorable.  3 buffets a day and enjoying the view of Singapore while swimming in the largest infinity pool on top of the hotel was amazing.","5"
"d1770798","Marina Bay Sands","Ayaspasha","Worth every penny","Super central location, unparalleled views, great service, a rooftop pool to die for. There is a 24-hour gym on top of the second tower. I wish the pool opened earlier than 6am. It's a good choice for business or pleasure. I would go back in a heartbeat.","5"
"d1770798","Marina Bay Sands","Alison C","This Hotel Is Awesome!","Amazing stay for four nights for my husband's 50th Birthday. We could not get enough of the infinity pool. We checked in at 06:00 & even though official check in is 15:00, we received an email to say our room was ready at 11:00. The staff were always friendly and helpful.  In the room there were bath robes and slippers which you were allowed to wear up to the pool. A plentiful supply of bottled water was provided every day. There was a fridge with a space for personal use you could use (though don't remove any of their stuff from fridge otherwise you'll be charged).  Whenever you enter the room the curtains are automatically open! This hotel is 5 star and definitely lived up to it's name!","5"
"d1770798","Marina Bay Sands","Bryan L","Great Experience","Stayed here with my family and had a great time/experience.  Check in was a bit slow but overall it was a good stay.    Though for the money you pay the rooms seemed a bit underwhelming.   The pool was also too crowded.","5"
"d1770798","Marina Bay Sands","celyeo","Clean and spacious room","Went for a staycation with my 3 years old gal. The room was bright and spacious. Toilet was clean and love the bathtub which was at the shower area. The floor around the basin would not be wet with such design.  The security guards were prompt in providing first aid to my gal when she fell down. They quickly provide us with ice pack and told us to look for them if my gal was unwell in the middle of the night. Kudos to their first class service.  Overall, love our 4D3N stay.","5"
"d1770798","Marina Bay Sands","Bia nca","Amazing experience","We had a great time at the MBS, great room with Garden View, great staff and room service, great food. We spent most of our time at the pool and the waiter ""Party"" was of a great help. We loved everything!","5"
"d1770798","Marina Bay Sands","Gr8nzgirl","ICONIC LANDMARK HOTEL","We stayed one night at  Marina Bay Sands on 30th November 2019.after our cruise.  We were given an early check in as our ship disembarkation was at 08.00 hours (the Cruise Terminal is only minutes away from MBS)  We were given a late next day check out free of charge by the MBS duty manager.  Due to an approx 5-6 hour delay with our luggage being delivered to our room after arrival (this worked out perfectly as we had an evening departure flight)  We had a beautiful room on the 13th floor with amazing night views of the city of Singapore.  The iconic Infinity Pool did not disappoint and the pool service was 1st class.  We would highly recommend this hotel if you visit Singapore","5"
"d1770798","Marina Bay Sands","Sarah","Good experience but not 5 star","If you¡¯re in Singapore it¡¯s worth splashing out and staying here for a night or two to enjoy the rooftop infinity pool as it really is an amazing experience. The views are wonderful (I¡¯d recommend going for a swim and enjoying the city view after dark as well as during the day to experience both). Realistically the MBS is an instagram destination so expect a lot of tourists posing for photos at every corner of the pool/rooftop area but that¡¯s just the age we live in. The rooms are great and the room views are spectacular, especially if you¡¯ve a room with a view of the gardens.   Where the hotel falls short is the situation with the lifts/elevators. If you¡¯re in rooms lower down in tower 3 expect to spend a lot of time waiting to travel up & down to the roof area. This is¡¦","4"
"d1770798","Marina Bay Sands","Carmen L","Beautiful place","Singapore is so clean and friendly country.The place is so convenient to go anywhere to work around eg mrt , bus or taxi.There¡¯s a place call garden by the bay there¡¯s a lot of flowers to see and  a lot of good food surrounding there","5"
"d1770798","Marina Bay Sands","JohannaKari","Suite with a view on the floor 54","We stayed on Marina Bay Sands on May 5-6.2019.   We had beautiful suite on the floor 54 with a amazing view to city of Singapore.   Restaurants and pool services was 1st class and we are glad that we desided to stay at this hotel.   Thank you for the pleasure customer experience  We highly recommend this hotel services if you visit in Singapore","5"
"d1770798","Marina Bay Sands","SCSW-Simon","It's the little things....","Had first two nights of an 8 day stay in Singapore at Marina Bay and biggest regret is that west after there instead of finishing. It earns its 5 stars well and truly, but it lets itself down with some of the little things. We booked for 3 (wife, myself and 13yo daughter) but our room only came with a King Bed. We needed to have a rollaway bed but at a cost of $100 a night. We asked for the bed to go straight to our room but 4 hours later and still had not arrived. It took two more calls to eventually have it delivered. We had breakfast up at Spargos on the pool deck (Level 57) and could not have been happier.  The room was nice but cramped with the rollaway bed.  Staff were excellent.  They did take almost an hour to find our bags when we came to collect them post-check out.¡¦","4"
"d1770798","Marina Bay Sands","VP T","Travelled to Singapore for Christmas and celebrate my daughter's birthday","The Marina Bay Sands was everything and more than we expected.  The drivers who transported us to and from the Marina Bay Sands were so nice and friendly.  The food at the hawker stands was so delicious.","5"
"d1770798","Marina Bay Sands","qqtt","Awesome ! But...","The Marina Bay Sands doesn't need my review to let you know the place is awesome, the service top-of-the-world, the view outstanding, the roof-top-pool magic - etc. We were really impressed with the room and the service. However, we paid a lot of money and... hated to be kept awake by noisy neighbours. Indeed, between our room and the one next door, there was a door (locked of course!) and that door was not soundproof...","4"
"d1770798","Marina Bay Sands","Jeff O","Kinda Las Vegas in Singapore","MBS is a must see for anyone visiting Singapore. Have to do it at least once. Sky park and pool are amazing attraction. Check in felt like being herded like cattle. So many people but I suppose to be expected for a place with 1,000s of rooms. Night light show was good. Room size more than adequate and generally clean.","4"
"d1770798","Marina Bay Sands","Mupp D","Paying exclusive prices for mass tourism, charged for items we didn't use, not a 5 star in any way","We (a couple) stayed a night in a 'Deluxe King Sky View' for 781 SGD, 42nd floor of Tower 3, Room 4205, Dec. 27th, 2019. CONFIRMATION CODE: 2050723  This is in no way a 5 star hotel.   I cannot even say the only plus is the rooftop infinity pool, as while it is lovely it's difficult to enjoy it. 1) it is so crowded and unclean, people not washing before going in, 2) kids are allowed to RUN around the crowded poolside screaming even though there is a 'lifeguard,' 3) the water is kept cold on purpose so you don't stay long, 4) there are not enough lounge chairs for pool users, 5) disrespectful uneducated clientele- I watched a family of 4 change removing their bathing suit bottoms standing naked-bottomed poolside!!!, 6) waiters do not come by after an hour  or more so you get up¡¦","1"
"d1770798","Marina Bay Sands","Alex S","Amazing hotel fantastic views 5***** service","We stayed at the Marina bay in October for 2 night in a club room 46th floor overlooking the gardens. Room as very nicely furnished as was the bathroom well laid out separate shower room and toilet. Bath in the major part of the bathroom. We were in the second tower so the clubroom 55 was easily accessible just a few floors up in the lift. Staff were very attentive and friendly food was very nice and a good selection to drink.  We ate breakfast, afternoon tea and early dinner in the club room well worth paying the upgrade. The infinity pool is well worth a visit day and night for the views. Pool slightly crowded but that is the main attraction of staying in this hotel. We took a trip round the gardens in the bay amazing day out seen some fantastic plants and orchids well worth¡¦","5"
"d1770798","Marina Bay Sands","TBE","Huge <U+2763><U+FE0F><U+2763><U+FE0F>","Seriously huge place!! Amazing architecture. Never ending designer shopping. Love the gondolas. Love the open air fountain. No shortage of things to do and see.  Observation Deck worth a visit for that top of the world experience. As far as a hotel goes a little overwhelming- so many people checking in and out. Queues never ending. Says something for smaller boutique accommodation.","5"
"d1770798","Marina Bay Sands","Stelios M","Best Hotel in Singapore","Our room was spacious, with great view and every comfort needed. Swimming at the the infinity pool was great experience. The stuff was very polite and professional. It is not an economical option though.","5"
"d1770798","Marina Bay Sands","Carolina P","Not worth the price","Pool is amazing. No one can deny this. And yes, it's worth to stay ONE night just for the pool. But the rest, oh the rest...Rooms on the 2nd floor get all the noise from the road, although it's the same price as a room on the 9th floor. Amenities in the room are limited, for example there is no bluetooth speaker if you want to listen to your music.  Bathroom: no privacy here. Toilet is together with sink and shower, door is a sliding door that doesnt lock or shut properly (yes, you can hear everything and even look inside the bathroom when door is ""closed""). When you have a shower the bathroom will get flooded since there is no enclosed shower. Staff in reception are nice during check in and rude during check out. The hotel overall is foccused in chinese clients which means is¡¦","2"
"d1770798","Marina Bay Sands","Thais Tramontina","Flawless","Absolutely flawless hotel! Stayed in a family room, with other 3 people. The room was huge and amusing. 2 bathrooms and an enormous balcony. The pool on the 57th floor dismisses any comment: INCREDIBLE! If you have the opportunity to go when you are in Singapore, don¡¯t miss it!","5"
"d1770798","Marina Bay Sands","aks120LasVegas","Wonderful Hotel","We stayed here for 2 nights and loved every minute of it!  Check in was quite quick and we got our room early.  The twin room was big with a great view over the city.  The beds were a touch hard for my liking but other than that I loved the room.  The bathroom was nice and big - in fact huge with a separate shower and roll top bath.  The amenities were of high quality and the hairdryer was really food.  The hotel itself is huge - very similar to Vegas hotels (which I love) with a lot going on.  Lots of bars and restaurants to visit - the casino is not great - we didn¡¯t stay long.  It is also attached to a shopping mall and is very close to the Gardens by the Bay - a great location all round.  The pool - well that is quite magnificent - not too busy as you can only get in as a¡¦","5"
"d1770798","Marina Bay Sands","Keith B","A ""Bucket List"" thing!","It is worth noting that this is not just a hotel but more of a principle tourist attraction for Singapore. Therefore, it is always very busy and lacks the peace and quiet you might expect from a 5-star hotel.  That said, as a unique experience, it is worth a stay here to be able to sample the 57th-floor pool and facilities for yourself.  Certainly, this did not disappoint and even though the weather was cloudy it was still an amazing experience to lounge by the pool in very pleasant temperatures in December. The overall size of the place does mean you can find as much action or peace as suits your preference. The room we had on the 20th floor was well furnished and very spacious with a large well-equipped bathroom area with robes and slippers useful for the pool area. Wifi¡¦","4"
"d1770798","Marina Bay Sands","Jonnyhague1","Amazing Views.....","Paid ¢æ22 including a drink, absolutely loved it. Staff were great, views amazing. Was all very easy, taxi dropped us at the door, no queues, went straight to the 57th floor. Highly Recommended, will re visit.","5"
